sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login ITOF,24082,398,309,556,186,10182,0.0,3.3407712961684894,2838.8858771481973
HTTP Request: Login/ Ajax MarkList,24074,8,6,9,3,4979,0.0,3.3400145648720203,0.5916608021771834
HTTP Request: Search Assist,28787,33,16,77,7,3702,0.0,4.000478050665032,3.2199595337581592
HTTP Request: Navigate To Advanced Search,6884,134,105,157,44,5904,0.0,0.9574870998642077,12.871566632805505
HTTP Request: Navigate To Advanced Search / Ajax Marklist,6881,8,6,9,4,3008,0.0,0.9572402545054354,0.26451814313544947
HTTP Request: Basic Search,8294,598,498,948,75,15015,0.0,1.153360514854349,46.05097273401475
HTTP Request: Basic Search/ Ajax MarkList,8283,8,6,9,4,1972,0.0,1.1526481614893054,0.2408904838043401
HTTP Request: Advanced Search,6871,620,509,1027,29,17318,0.0,0.9566966327648059,25.816260733858442
HTTP Request: Ajax Suggest Also Try,43102,13,7,13,4,6402,0.0,5.999897825506846,3.114138848767691
HTTP Request: Navigate To Subject Guide Search,1901,176,72,731,28,1274,0.0,0.2650512437052073,2.5278970442533795
HTTP Request: Navigate To Subject Guide Search / Ajax Marklist,1901,7,6,9,3,173,0.0,0.2650704618919031,0.08279788979475933
HTTP Request: Advanced Search/ Ajax MarkList,6865,7,6,9,3,1010,0.0,0.9561647556138988,0.2642520202288388
HTTP Request: Ajax Suggest Did You Mean,43076,12,7,13,4,5860,0.0,5.99890901074403,3.09828022769805
HTTP Request: Navigate Topic Finder,945,92,69,97,18,1148,0.0,0.13180043155227017,8.999901240114793
HTTP Request: Topic Finder,945,3180,2240,6137,687,19784,0.0,0.13176573474595496,102.03357067171521
HTTP Request: Click on Topic,945,284,206,358,91,16376,0.0,0.1318104874840014,9.86735055554459
