sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
location,50,0,1,1,0,2,0.0,0.9817203667707289,0.0
HomePage/EnterProduct,50,1090,849,1754,599,2584,0.0,0.9673799481484348,639.3600751412374
NavigationBarSavedItemCount,32320,5,4,7,2,1697,0.0,1.1219410746966638,0.4250104127552481
Named User Login Dialog,50,5,5,6,4,11,0.0,1.0003601296466729,1.8431049240226482
Named User Session,50,181,158,225,122,619,0.0,0.9965320684019613,0.4380653762406824
Refresh Home Page,50,84,77,84,53,491,0.0,0.9981833063823841,16.80492285290771
DisplayBrowseHelpPage,3391,205,165,276,89,3210,0.0,0.11780528374241574,2.1908820870812766
BasicSearch/SubmitSearchForm,7698,1521,1230,3015,147,10303,0.0,0.26732075636286257,20.269400359562997
Help/ViewDocument,3391,282,217,354,128,3355,0.0,0.1177842595977586,2.7143583337421857
BasicOrAdvancedSearch/searchResults/Bookmark,7969,16,9,14,7,5018,0.0,0.2767611327764747,0.1751830122712601
DetailsPage/Email,12181,8,7,10,5,1052,0.0,0.42311972589650426,0.612700494045513
AdvancedSearch/GoToAdvancedSearchPage,916,299,237,325,71,5751,0.0,0.03184213310032494,3.3905878335541657
GetSavedDocumentIds,16492,5,4,7,2,1046,0.0,0.5729446981215113,0.2209862443224036
AdvancedSearchPortletWin/SubmitSearchForm,916,1278,1131,2093,215,6560,0.0,0.03183670910194135,1.077051084274115
AdvancedSearch/searchResults/HitCountsListWindow,807,281,229,545,17,1861,0.0,0.028048694062188784,0.0357557988459231
AdvancedSearch/searchResults/SubjectLimiter,807,194,159,384,5,1276,0.0,0.028048887090021807,0.02158666745507095
AdvancedSearch/searchResults/PublicationYearLimiter,807,635,491,1266,19,5420,0.0,0.028048472765871368,0.03247917620297362
AdvancedSearch/searchResults/DatabasesAndArchivesLimiter,807,280,256,504,15,2628,0.0,0.028048816897775133,0.031321463984363286
BrowseByDateSearch/SubmitDate,2341,394,504,572,66,3505,0.0,0.0813572827487738,1.3472458185710354
BrowseByDate AJAX Call: Get Publications JSON Object,2340,7,5,8,3,1021,0.0,0.08141342614556693,0.7990299534824906
BasicOrAdvancedSearch/NewspapersFullListPage/Bookmark,644,17,9,15,7,1010,0.0,0.02239489162785059,0.014176283991029107
DetailsPage/TranslateForm,12184,7,6,9,4,3044,0.0,0.4234573989831322,0.616782675191423
BrowseByDate AJAX Call: Get Publications MCode Query,2340,308,279,451,139,3969,0.0,0.08141285680880597,0.09563639123299737
BasicSearch/searchResults/HitCountsListWindow,7155,16,15,23,6,1016,0.0,0.2486415587459208,0.3053688871186089
NGramSearch/GoToNGramSearchPage,2674,153,128,165,58,3108,0.0,0.0929711805681471,2.8059217142067303
BasicSearch/searchResults/SubjectLimiter,7150,290,252,548,5,3242,0.0,0.24851697063304504,0.23640750467941815
DetailsPage/Clear Document in session,12169,7,6,9,4,1043,0.0,0.42302985810718524,0.13640860848423245
BasicSearch/NewspapersFullListPage/HitCountsListWindow,535,7,7,10,5,43,0.0,0.018602074607670945,0.011079989718355202
BrowseByDate/GoToBrowseByDatePage,1070,209,91,526,60,3070,0.0,0.03725544498773947,0.6315463686969793
BasicSearch/NewspapersFullListPage/SubjectLimiter,535,60,34,130,13,339,0.0,0.018600874227181482,0.015419806933182078
NGramSearch/SubmitSearchForm,2673,616,581,819,21,5524,0.0,0.09297771947046318,0.09726461372218612
savedDocuments,898,208,105,675,74,3684,0.0,0.031237101216486818,0.61308619992437
SavedDocuments/Email,898,9,6,10,5,1048,0.0,0.031237378299017612,0.04406324026803479
savedAnnotations,898,126,95,128,66,3076,0.0,0.03123727724481927,0.5184779550133812
DisplayAboutPage,898,586,480,1016,130,6282,0.0,0.03123685673598292,0.709035531046218
DisplaySearchHistoryPage,898,138,97,139,67,3092,0.0,0.031237106649430368,0.5465664797634857
BasicSearch/searchResults/PublicationYearLimiter,7147,665,612,973,17,5560,0.0,0.2485006253891841,0.41420167530128393
BasicSearch/NewspapersFullListPage/PublicationYearLimiter,534,559,485,785,326,3337,0.0,0.018578020239883294,0.006154213823758741
BasicSearch/NewspapersFullListPage/DatabasesAndArchivesLimiter,534,177,214,297,20,380,0.0,0.018580169552049858,0.006154925811714199
BasicSearch/searchResults/DatabasesAndArchivesLimiter,7145,809,483,1676,15,10925,0.0,0.24858689916076784,0.3455010252861411
BasicSearch/searchResults/LoCSubjectsLimiter,665,33,27,43,19,222,0.0,0.02318589221091394,0.02582808152536254
Manuscripts/ViewArticle,1197,1321,1072,2212,451,7271,0.0,0.0417440882332622,1.5737114424185812
BasicSearch/searchResults/PlaceOfPublicationLimiter,665,180,134,207,100,3119,0.0,0.02318906642143677,0.4965296189063492
ArchivalNewspapers/ViewArticle,563,1367,1151,2017,496,9047,0.0,0.019590082908501682,0.5567071697502606
savedTags,538,119,104,142,71,1086,0.0,0.018754127084448895,0.3359924254851994
Newspapers/ViewArticle,2254,1130,898,1639,327,7203,0.0,0.07843555108404092,2.662322872107702
Videos/ViewArticle,70,1233,1130,1633,471,5573,0.0,0.002461141736308774,0.24159131066354
DetailsPage/crossdomain.xml,7898,9,4,8,2,3018,0.0,0.27496653871682397,0.11184665908953628
Monographs/ViewArticle,1502,1144,1001,1908,234,5795,0.0,0.052294667009355734,1.7570115325473548
Maps/ViewArticle,310,937,828,1368,518,4048,0.0,0.010811448752268136,0.2896672665044438
DetailsPage/BookMark,7896,16,9,14,6,3691,0.0,0.27493988736726777,0.17404096009332495
Carrot Page,201,134,99,149,64,1107,0.0,0.007014098092894645,0.1454927472720829
Carrot Ajax Call,201,2462,2281,3780,168,11267,0.0,0.007012545164192465,0.36784997564318034
Magazines/ViewArticle,815,712,662,1000,285,2487,0.0,0.028435110502153933,1.0121877520127087
DetailsPage/Get tinyurl for document,7892,16,9,14,6,1157,0.0,0.27505153295399315,0.10346595655687899
DetailsPage/Get tinyurl for document (for EZProxy),7892,15,9,14,6,1011,0.0,0.27501418107209674,0.1034635443473609
Photographs/ViewArticle,464,1303,957,2644,498,5505,0.0,0.01618428430653202,0.6187948030976894
DetailsPage/Get Citation for document,7889,18,12,22,8,5052,0.0,0.27499958518252454,0.21159473270129212
AdvancedSearch/NewspapersFullListPage/HitCountsListWindow,109,319,280,679,25,1136,0.0,0.0038593300401327836,0.00563308802938855
AdvancedSearch/NewspapersFullListPage/SubjectLimiter,109,94,76,174,14,323,0.0,0.0038593151457619076,0.003526963716029042
AdvancedSearch/NewspapersFullListPage/PublicationYearLimiter,109,555,496,855,275,2845,0.0,0.003859250240441912,0.005521048594227383
AdvancedSearch/NewspapersFullListPage/DatabasesAndArchivesLimiter,109,1641,1870,2285,19,2474,0.0,0.0038591146978454805,0.0037371689415085668
DetailsPage/Get public tags for document,7887,5,4,7,2,1009,0.0,0.27497191796556064,0.0959166311737201
DetailsPage/Get private tags for document,7883,5,4,7,2,1005,0.0,0.27489715418501187,0.09589316656779831
DetailsPage/hitTermCoordinates,2949,355,161,819,26,5172,0.0,0.10302365519544206,0.02939793369142176
ArchivalNewspapers/DVI Document Image Tiles,460,1782,1526,3036,0,7508,0.0,0.0160571483684349,9.224640977216058
Manuscripts/DVI Document Image Tiles,1018,1574,1448,2808,0,16850,0.0,0.035581920819041296,12.698984076959361
View Document/Retrieve JSViewer SWF,70,10,0,21,0,216,0.0,0.0024624546895145407,0.11406751082046562
Newspapers/DVI Document Image Tiles,1969,749,487,1902,0,5355,0.0,0.06875998268184327,13.689710766362309
Maps/DVI Document Image Tiles,267,2762,2005,7133,0,13983,0.0,0.00933944844505529,8.113184309225097
Videos/DetailsPreviewPortletWindow,70,513,327,691,78,3394,0.0,0.0024623187838903006,0.15519705367816256
Monographs/DVI Document Image Tiles,1276,375,134,1123,0,4623,0.0,0.04461826764190917,2.9573390832102544
MagazineDetails/GetDocumentTitle,813,593,519,991,148,5847,0.0,0.02850541581863347,0.04773165644497985
Photographs/DVI Document Image Tiles,396,1196,931,2533,0,6271,0.0,0.013930206569485418,2.586792681339454
SearchWithinDocument/SubmitSearchWithinForm,639,1239,1014,2138,223,6184,0.0,0.02238199565649178,0.8020333461831324
