sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login ITOF,23905,407,315,642,175,5526,0.0,3.3162961307473853,2818.1056719894314
HTTP Request: Login/ Ajax MarkList,23898,7,6,9,3,1019,0.0,3.315774905253168,0.5872501763387175
HTTP Request: Search Assist,28477,32,16,77,7,930,0.0,3.9572021301106157,3.188594056757162
HTTP Request: Navigate To Advanced Search,6796,125,105,154,44,1568,0.0,0.9453277565116126,12.707244316818473
HTTP Request: Navigate To Advanced Search / Ajax Marklist,6794,7,6,9,3,424,0.0,0.9454037015741514,0.26247141628821763
HTTP Request: Basic Search,8186,648,510,1139,66,19791,0.0,1.1386891692938403,45.474636151052906
HTTP Request: Basic Search/ Ajax MarkList,8176,7,6,9,3,224,0.0,1.1385943373314111,0.238161940691295
HTTP Request: Navigate To Subject Guide Search,1874,247,75,762,28,3621,0.0,0.2611291312816257,2.49030019560474
HTTP Request: Navigate To Subject Guide Search / Ajax Marklist,1874,8,6,9,4,1012,0.0,0.26114838119358186,0.0835554627461522
HTTP Request: Ajax Suggest Also Try,42613,11,7,14,4,3010,0.0,5.934974749233285,3.081348622750342
HTTP Request: Advanced Search,6785,692,522,1227,30,10859,0.0,0.9449189542246998,25.57644280424545
HTTP Request: Navigate Topic Finder,933,82,69,93,19,2078,0.0,0.1301560924490494,8.910788483131883
HTTP Request: Topic Finder,933,4031,2425,8863,652,33864,0.0,0.12994492312984812,101.0692043219396
HTTP Request: Click on Topic,932,314,212,461,84,17150,0.0,0.13004634226522868,10.689388331843102
HTTP Request: Click on Topic/ Ajax MarkList,932,7,6,9,4,208,0.0,0.13005236700889602,0.04393638949651314
HTTP Request: Click on Topic/ Scribble,932,7,6,10,4,97,0.0,0.130051731843934,0.04565031530393522
HTTP Request: Click on Topic/ doc Linking,932,173,92,436,7,1891,0.0,0.13005053412117165,2.7998916521720325
HTTP Request: Ajax Suggest Did You Mean,42590,11,7,13,4,3283,0.0,5.93732090627021,3.066976310765705
HTTP Request: Advanced Search/ Ajax MarkList,6771,7,6,9,3,1046,0.0,0.9439068935035758,0.26193261643016946
HTTP Request: Subject Guide Search,1871,182,112,239,26,2635,0.0,0.26097452994595555,2.9463878463090865
HTTP Request: Ajax Limit Expand Search Results (TY),31724,104,76,211,12,14286,0.0,4.424954657605116,6.398669590782707
HTTP Request: Subject Guide Search / Ajax Marklist,1869,6,6,9,4,107,0.0,0.2609424812404834,0.08340657324616356
HTTP Request: Ajax Limit Expand Search Results (SU),31705,120,94,228,14,6269,0.0,4.423375569210516,7.933885076581738
HTTP Request: Subject Guide Search Result,1331,250,180,419,54,8887,0.0,0.1860548597641199,3.0559283837399653
HTTP Request: Subject Guide Search Result/ Ajax MarkList,1331,7,6,9,4,155,0.0,0.18605626419709942,0.05972951795387035
HTTP Request: Ajax Limit Expand Search Results (PU),31688,109,83,215,11,5259,0.0,4.421426953877099,7.80895547446517
HTTP Request: Retrieve Document,93478,312,192,478,49,56213,0.0,13.007641805184273,365.18587036920724
HTTP Request: Limit By TY,825,462,371,796,59,7478,0.0,0.11539618728199737,1.4884422566395819
HTTP Request: SimilarArticlesBySubject ,104359,300,217,576,7,15080,0.0,14.583283841549902,40.23685090834599
HTTP Request: Click On Next Page Link,1401,449,356,738,141,4535,0.0,0.19608929915081155,2.988734459380683
HTTP Request: Tab Visit,2710,423,311,798,6,10342,0.0,0.37890953192368737,25.058965556616705
HTTP Request: Limit By TY/ Ajax MarkList,825,7,6,9,4,177,0.0,0.11540826197255802,0.02837229061618919
HTTP Request: Tab Visit/ Ajax MarkList,2709,7,6,9,4,119,0.0,0.3789259540359601,0.09296896025215011
HTTP Request: ATP Page,1641,246,157,413,40,9665,0.0,0.2296803244580993,2.3991049067506283
HTTP Request: ATP Page/ Ajax MarkList,1641,8,6,10,4,750,0.0,0.22968180322469894,0.05745216152131373
HTTP Request- BookMark Login,1387,338,296,452,156,3937,0.0,0.19437759648948735,41.330483783782746
HTTP Request: Search Within Results,806,451,316,804,29,6601,0.0,0.11294920606938025,1.2771661299068617
HTTP Request: Search Within Results/ Ajax MarkList,806,7,6,9,4,110,0.0,0.11295040902482177,0.02771578358470405
HTTP Request: Navigate To Publication Search,1481,132,119,176,35,1297,0.0,0.2074903599642517,2.182542753775701
HTTP Request: Navigate To Publication Search / Ajax Marklist,1481,7,6,9,4,161,0.0,0.20749315069452762,0.0853834512128402
HTTP Request: Publication View All,727,252,273,303,138,623,0.0,0.10184694603456744,1.2896722781631322
HTTP Request: Publication Search/ Ajax Browse Index (PTA),1481,13,11,16,7,211,0.0,0.20747306492492024,0.15407516530426954
