sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request: Login AONE,131766,925,383,913,8,1130036,0.07249973437760879,3.563223143367689,2817.826392034969
HTTP Request: Login/ Ajax MarkList,122203,108,7,20,3,174383,0.001022888145135553,3.3065912789578378,0.5954978382032879
HTTP Request: Navigate To Subject Guide Search,11128,307,95,426,29,164460,8.087706685837527E-4,0.3012264828210629,2.9830375055562994
HTTP Request: Navigate To Subject Guide Search / Ajax Marklist,11119,12,7,17,3,4009,0.0,0.30098664010744025,0.07444469733727928
HTTP Request: Navigate To Advanced Search,34448,383,144,361,48,163234,9.289363678588017E-4,0.9324014623826977,13.565978692274806
HTTP Request: Navigate To Advanced Search / Ajax Marklist,34413,73,7,20,4,143253,4.6494057478278555E-4,0.9315156151283788,0.24958585080821766
HTTP Request: Search Assist,94855,167,32,104,6,185051,0.002119023773127405,2.5673875976570852,2.0185415039212105
HTTP Request: Navigate Topic Finder,5548,230,85,180,23,127984,5.407354001441961E-4,0.15021666886251597,10.357532777255823
HTTP Request: Navigate Topic Finder/ Ajax MarkList,5545,15,7,16,4,20649,0.0,0.1501353641562364,0.03952790566792001
HTTP Request: Topic Finder,5545,2804,2136,4265,700,131252,7.21370604147881E-4,0.1501286652749419,122.59375769510939
HTTP Request: Click on Topic,5541,526,259,494,73,249234,5.414185165132648E-4,0.15002297049055482,12.115185574722135
HTTP Request: Click on Topic/ Ajax MarkList,5538,11,7,17,4,1014,0.0,0.14994214312646317,0.039408241117877434
HTTP Request: Click on Topic/ doc Linking,4140,246,151,503,7,44924,0.0,0.11209070748270182,2.986828838021022
HTTP Request: Click on Topic/ Scribble,4140,19,7,17,4,34303,0.0,0.11209076211023584,0.03949059271002566
HTTP Request: Subject Guide Search,11104,284,155,288,34,142309,0.0016210374639769453,0.3005992303804251,4.4357482027172965
HTTP Request: Basic Search,44822,1396,597,1220,59,339921,0.003101155682477355,1.2133809207206545,47.13801930811644
HTTP Request: Subject Guide Search / Ajax Marklist,11084,79,7,19,3,120753,0.0012630819198845183,0.3001350661954333,0.07512946586809817
HTTP Request: Subject Guide Search Result,10979,485,227,504,56,261454,3.643319063667001E-4,0.2972894776069591,6.0496171954150295
HTTP Request: Subject Guide Search Result/ Ajax MarkList,10975,13,7,18,4,20061,0.0,0.2971815276836439,0.07350456554429981
HTTP Request: Ajax Suggest Also Try,247529,40,8,36,4,174441,6.261892545923912E-4,6.701050352534119,3.4821934257755167
HTTP Request: Ajax Suggest Did You Mean,247336,41,8,38,4,190995,5.822039654558981E-4,6.695465701750375,3.4707601251099693
HTTP Request: Ajax Limit Expand Search Results (TY),245760,154,99,228,6,320010,5.615234375E-4,6.653129936770089,10.818688031501187
HTTP Request: Ajax Limit Expand Search Results (SU),245589,158,122,245,6,175119,5.985610104687099E-4,6.648608317083084,13.884810602586354
HTTP Request: Ajax Limit Expand Search Results (PU),245414,143,97,229,6,175210,5.093433952423252E-4,6.643425748292251,12.824989928036976
HTTP Request: Basic Search/ Ajax MarkList,44672,86,7,19,3,186173,0.0012311962750716332,1.2094687715986234,0.25887765298411347
HTTP Request: Advanced Search,34315,1170,617,1222,34,336510,0.002768468599737724,0.9289734738886577,27.77150958478838
HTTP Request: Retrieve Document,527705,370,242,604,4,303714,3.4867966003733144E-4,14.287972010677674,449.4799936171791
HTTP Request: Advanced Search/ Ajax MarkList,34215,55,7,19,3,156805,0.0013736665205319304,0.9263686511325172,0.2505700742364058
HTTP Request: SimilarArticlesBySubject ,589223,359,247,550,7,254963,4.0392177494768535E-4,15.954331236895456,46.56133454683643
HTTP Request: Limit By TY,6480,521,359,798,60,51433,3.0864197530864197E-4,0.17552416784953614,2.4264145261685135
HTTP Request: Limit By TY/ Ajax MarkList,6477,37,7,19,4,28963,3.087849312953528E-4,0.17546497880753112,0.04239161302459985
HTTP Request: Limit By PU,6593,681,480,941,55,163827,6.067040800849386E-4,0.17866046168649025,2.544941510673994
HTTP Request: ATP Page,8805,242,164,359,37,160327,1.1357183418512209E-4,0.23858804004355444,2.457015191499012
HTTP Request: Tab Visit,14447,509,340,816,7,59036,1.384370457534436E-4,0.3914389985252555,20.735713697514573
HTTP Request: ATP Page/ Ajax MarkList,8804,36,7,19,3,51996,4.5433893684688776E-4,0.2385555003815425,0.05707891330057468
HTTP Request: Limit By PU/ Ajax MarkList,6589,24,7,20,4,30629,0.0,0.17855378533753927,0.04339547557708589
HTTP Request: Tab Visit/ Ajax MarkList,14442,36,7,19,4,174070,2.769699487605595E-4,0.3913438172757674,0.0935700110502059
HTTP Request: Limit By SU,6502,644,449,881,55,257151,4.6139649338665026E-4,0.17621204591182904,2.4590142798053516
HTTP Request: Limit By SU/ Ajax MarkList,6498,37,7,18,4,34064,3.077870113881194E-4,0.1761251157260999,0.04291922635179482
HTTP Request: Click On Next Page Link,7330,784,431,937,30,245788,2.7285129604365623E-4,0.19868143291651522,3.1203042495451268
HTTP Request: Search Within Results,4420,1227,1010,1434,37,162200,2.2624434389140272E-4,0.11982467210602,1.92142886340802
HTTP Request: Search Within Results/ Ajax MarkList,4419,24,7,17,3,28668,0.0,0.11980001449311785,0.028939142287336607
HTTP Request: Ajax Limit Expand Search Results (GS),7547,101,79,167,13,41266,2.6500596263415925E-4,0.20462166790274747,0.18245974490799238
HTTP Request- BookMark Login,8103,497,336,559,148,132709,3.7023324694557573E-4,0.21968552571426805,22.822527751556127
HTTP Request: Retrieve Document/ Ajax MarkList,61844,31,7,19,3,163348,1.9403660824008796E-4,1.6765819611069528,0.40085457074585423
HTTP Request: DocLinking/getTerms,61821,231,126,484,6,174355,3.88217595962537E-4,1.676127106075087,36.387263790797626
HTTP Request: Retrieve Document/ Scribble,61793,28,7,19,4,162853,3.0747819332286827E-4,1.6754424970717106,0.5891658681513953
HTTP Request: Save This Document,61743,148,122,233,28,41969,9.717700791992614E-5,1.6742914998365785,0.7383837919607732
HTTP Request: Related Document,55103,706,505,983,52,339154,2.722174836215814E-4,1.4943206297413114,20.556037934845325
