sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
LoginToWorldScholar,20,1055,773,1523,669,3011,0.0,0.6925447557048374,13.704168957114165
BasicSearch/invokeSearchAssist,932,34,27,64,8,281,0.0,0.12976850523947303,0.20235061066559268
BasicSearch/SubmitSearchForm,929,646,604,872,290,2418,0.0,0.129575468086148,2.400568421051439
BasicSearch/invokeHitCountsListWindow,927,46,15,165,11,349,0.0,0.13025886807151393,0.14499773979083827
retrieveDVIMonographDocument,54,709,529,1366,313,2357,0.0,0.007587199046373383,0.17759761963397103
SearchWithinMonographFullListPage,110,296,246,513,113,829,0.0,0.015440674751871867,0.27640535012010736
retrieveDVIMonographViewAllPage,31,375,376,522,197,655,0.0,0.004378127889917482,0.12288645324434812
BrowseTopics/accessTopicTab,518,376,367,462,263,983,0.0,0.07293094692386981,1.0058207022060484
BrowseTopics/selectPortalCategory,517,132,87,294,49,814,0.0,0.07285508362903995,0.6021677544844276
SearchWithinManuscriptFullListPage,105,227,216,316,105,489,0.0,0.014999537157139151,0.18571748357479254
BrowseTopics/retrievePortalPage,380,1309,1179,2106,587,3747,0.0,0.05370980704327795,0.771842032734926
BrowseTopics/ImagesResultsOnPortalPage,375,498,378,1034,9,9795,0.0,0.05329176102269021,0.13938751534802718
retrieveDVIManuscriptDocument,18,278,241,354,169,739,0.0,0.002591605702741962,0.04276697763595456
BrowseTopics/NewsResultsOnPortalPage,376,413,346,744,9,1705,0.0,0.053311449172495716,0.0871475706461773
BrowseTopics/ReferenceResultsOnPortalPage,376,316,269,563,9,1235,0.0,0.053344221607786325,0.08534321757306208
BrowseTopics/PrimarySourceResultsOnPortalPage,379,12,12,14,8,76,0.0,0.05373561030538415,0.018844210780199943
retrieveDVIManuscriptsViewAllPage,11,293,314,397,152,409,0.0,0.001583173456801673,0.039278977606371265
HistoricalCollection/accessHistoricalCollectionsPage,509,108,86,169,60,1133,0.0,0.07213232213926611,0.4854702240006202
BrowseTopics/AudioResultsOnPortalPage,376,206,160,506,9,968,0.0,0.05340345472061684,0.04597958890844332
