sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request - Login,26842,1446,1372,2346,274,211756,0.0,0.9317272533519202,1598.0217153003234
HTTP Request - PerformBasicSearch,66818,619,362,1301,95,210242,0.0,2.319805163863103,612.9630052429509
HTTP Request - View All,64493,504,235,1218,78,204468,0.0,2.2389636965227098,446.4147129903632
HTTP Request - PerformAdvancedSearch,53436,572,326,1291,91,11906,0.0,1.8556434030949824,390.4219846409467
HTTP Request - Browse Sub Category,13357,817,405,1347,143,42856,0.0,0.463635215963519,664.2259258639302
HTTP Request - RetrieveDocument,64472,527,256,1243,111,209999,0.0,2.2395609026689303,561.7352275216541
HTTP Request - Topic,13347,619,388,1305,102,9644,0.0,0.463770077896486,116.38489216817966
TOTAL,302765,649,330,1353,78,211756,0.0,10.503973184711068,4387.015027387092
